Activity Type,Activity Description,Intimacy Level,Intimacy Rating,Audience Tag
Dare,Imitate your partner's laugh perfectly for 30 seconds.,L1,G,Couple
Dare,Do your best five-minute stand-up comedy routine for 30 seconds.,L1,G,Couple
Dare,Swap outfits with me for 60 seconds.,L1,G,Couple
Dare,Write a love poem in five minutes or less for 60 seconds.,L1,G,Couple
Dare,Talk in an accent for 60 seconds.,L1,G,Couple
Dare,Serenade me with a song of your choice for 60 seconds.,L1,G,Couple
Dare,Make the weirdest face you can and hold it for 10 seconds.,L1,G,Couple
Dare,Let me do your makeup while blindfolded for 60 seconds.,L1,G,Couple
Dare,Do a sexy walk across the room while balancing a book on your head for 30 seconds.,L1,G,Couple
Dare,Go without underwear on our next date night for 60 seconds.,L1,G,Couple
Dare,Take a shower with your clothes on for 30 seconds.,L1,G,Couple
Dare,Let me text your best friend whatever I want for 60 seconds.,L1,G,Couple
Dare,Draw a picture using only your feet for 60 seconds.,L1,G,Couple
Dare,Do your best celebrity impression for 60 seconds.,L1,G,Couple
Dare,Say yes to everything for the next 60 seconds.,L1,G,Couple
Dare,Post a photo of yourself in a ridiculous pose on your social media for 30 seconds.,L1,G,Couple
Dare,Deliver your best five-minute stand-up comedy routine for 30 seconds.,L1,G,Couple
Dare,Swap outfits with your partner for the rest of the game for 60 seconds.,L1,G,Couple
Dare,Let your partner do your makeup while blindfolded for 60 seconds.,L1,G,Couple
Dare,Write a love poem about your partner in five minutes or less for 60 seconds.,L1,G,Couple
Dare,Burp the alphabet for 60 seconds.,L1,G,Couple
Dare,Let me post a photo of my choice to your Instagram story for 60 seconds.,L1,G,Couple
Dare,Take a bite out of a raw onion for 60 seconds.,L1,G,Couple
Dare,Give me a 10-minute massage for 90 seconds.,L1,G,Couple
Dare,Hold eye contact for two full minutes for 60 seconds.,L1,G,Couple
Dare,Reenact the moment we met for 60 seconds.,L1,G,Couple
Dare,Write a love poem for me in five minutes or less for 60 seconds.,L1,G,Couple
Dare,Take turns giving each other heartfelt compliments for 60 seconds.,L2,G,Couple
Dare,Act out a scene from your favorite fantasy movie or book. 4 for 60 seconds.,L1,G,Couple
Dare,Do your best impression of me for 60 seconds.,L1,G,Couple
Dare,Do a catwalk across the room and strike a pose at the end. 4 for 30 seconds.,L1,G,Couple
Dare,Imitate your best flirting technique using only facial expressions. 4 for 30 seconds.,L1,G,Couple
Dare,Go live on one of your social media accounts and declare your love for me for 60 seconds.,L1,G,Couple
Dare,Do your best five-minute stand-up comedy routine for 30 seconds.,L1,G,Group
Dare,Write a love poem in five minutes or less for 60 seconds.,L1,G,Group
Dare,Talk in an accent for 60 seconds.,L1,G,Group
Dare,Make the weirdest face you can and hold it for 10 seconds.,L1,G,Group
Dare,Do a sexy walk across the room while balancing a book on your head for 30 seconds.,L1,G,Group
Dare,Take a shower with your clothes on for 30 seconds.,L1,G,Group
Dare,Let me text your best friend whatever I want for 60 seconds.,L1,G,Group
Dare,Draw a picture using only your feet for 60 seconds.,L1,G,Group
Dare,Do your best celebrity impression for 60 seconds.,L1,G,Group
Dare,Say yes to everything for the next 60 seconds.,L1,G,Group
Dare,Post a photo of yourself in a ridiculous pose on your social media for 30 seconds.,L1,G,Group
Dare,Deliver your best five-minute stand-up comedy routine for 30 seconds.,L1,G,Group
Dare,Burp the alphabet for 60 seconds.,L1,G,Group
Dare,Let me post a photo of my choice to your Instagram story for 60 seconds.,L1,G,Group
Dare,Take a bite out of a raw onion for 60 seconds.,L1,G,Group
Dare,Give the player across from you a backhanded compliment for 60 seconds.,L1,G,Group
Dare,Serenade the person to your right for 60 seconds.,L1,G,Group
Dare,Do your best impression of someone in the room for 60 seconds.,L1,G,Group
Dare,Act out a scene from your favorite fantasy movie or book. 4 for 60 seconds.,L1,G,Group
Dare,Call a random phone number and talk to them for as long as possible. 5 for 60 seconds.,L1,G,Group
Dare,Let another person draw a tattoo with a permanent marker on your back. 5 for 60 seconds.,L1,G,Group
Dare,Do a catwalk across the room and strike a pose at the end. 4 for 30 seconds.,L1,G,Group
Dare,Imitate your best flirting technique using only facial expressions. 4 for 30 seconds.,L1,G,Group
Dare,Kiss your favourite part of my body. 6 for 90 seconds.,L1,G,Couple
Dare,Go into the bathroom or bedroom and send me a sexy selfie for 60 seconds.,L2,G,Couple
Dare,Lick something off my finger. 6 for 90 seconds.,L4,R,Couple
Dare,Give me a five-minute foot massage. 6 for 90 seconds.,L1,G,Couple
Dare,Do a seductive dance. 6 for 90 seconds.,L4,R,Couple
Dare,Read an erotic passage out loud. 6 for 60 seconds.,L1,G,Couple
Dare,Hide a chocolate in your clothes and let me find it. 6 for 60 seconds.,L1,G,Couple
Dare,Perform a sexy dance to a decidedly unsexy song. 7 for 90 seconds.,L1,G,Couple
Dare,Let your partner blindfold you and tickle you for 60 seconds.,L1,G,Couple
Dare,Play a song you'd like to have sex to for 60 seconds.,L1,G,Couple
Dare,Whisper some dirty talk in my ear for 30 seconds.,L1,G,Couple
Dare,Do your sexiest dance for 30 seconds.,L1,G,Couple
Dare,Take off three items of clothing. 6 for 60 seconds.,L1,G,Couple
Dare,Drop an ice cube in your underwear. 6 for 60 seconds.,L4,R,Couple
Dare,Let me draw you naked. 6 for 60 seconds.,L6,R,Couple
Dare,Put an ice cube in your mouth until it melts while maintaining eye contact with someone. 4 for 60 seconds.,L1,G,Couple
Dare,Do a seductive dance. 6 for 90 seconds.,L4,R,Group
Dare,Read an erotic passage out loud. 6 for 60 seconds.,L1,G,Group
Dare,Perform a sexy dance to a decidedly unsexy song. 7 for 90 seconds.,L1,G,Group
Dare,Do your sexiest dance for 30 seconds.,L1,G,Group
Dare,Take a body shot (lick or eat something off another willing player). 8 for 90 seconds.,L4,R,Group
Dare,Give another volunteer player a lap dance. 9 for 90 seconds.,L4,R,Group
Dare,Run your body the full length of another player's body. 9 for 60 seconds.,L1,G,Group
Dare,Let the other players pick someone for you to make out with for 60 seconds.,L1,G,Group
Dare,Take off three items of clothing. 6 for 60 seconds.,L1,G,Group
Dare,Put an ice cube in your mouth until it melts while maintaining eye contact with someone. 4 for 60 seconds.,L1,G,Group
Dare,Let another player step on you. 9 for 60 seconds.,L3,G,Couple
Dare,"Quiet time! Until next turn, wear a gag (e.g. underwear). 9 for 60 seconds.",L2,G,Couple
Dare,Punishment time - let another player spank you (agree number and safeword first). 9 for 60 seconds.,L7,X,Couple
Dare,"Let another player drip candle wax on your skin (Use low-temp candles only, agree on limits). 9 for 60 seconds.",L7,X,Couple
Dare,"Strip down and roleplay as a dominant master, ordering your partner to worship you for the next minute. 4 for 90 seconds.",L1,G,Couple
Dare,"Until the next player takes a dare, you're wearing hand-cuffs or ankle-cuffs. 9 for 60 seconds.",L3,G,Couple
Dare,Let another player scratch a message onto your back with their nails. 9 for 60 seconds.,L1,G,Couple
Dare,"Sensory Deprivation: Dare to wear a blindfold for the next three rounds, living in the fantasy of mystery. 4 for 60 seconds.",L1,G,Couple
Dare,Exhibitionism: Take off a piece of clothing while blindfolded—let someone guide you. 4 for 60 seconds.,L1,G,Couple
Dare,Exhibitionism: Unbutton your shirt one button at a time until someone speaks.,L1,G,Couple
Dare,Endurance: Hold a plank for two minutes. 15 for 60 seconds.,L1,G,Couple
Dare,"Until the next player takes a dare, you're the drinks table (Human Furniture). 9 for 60 seconds.",L1,G,Group
Dare,"Demonstrate your oral sex technique with a food prop (e.g. banana, cream cake).",L7,X,Group
Dare,Let another player step on you. 9 for 60 seconds.,L3,G,Group
Dare,"Quiet time! Until next turn, wear a gag (e.g. underwear). 9 for 60 seconds.",L2,G,Group
Dare,Punishment time - let another player spank you (agree number and safeword first). 9 for 60 seconds.,L7,X,Group
Dare,"Let another player drip candle wax on your skin (Use low-temp candles only, agree on limits). 9 for 60 seconds.",L7,X,Group
Dare,Lick the earlobes of all the players of the opposite sex. 8 for 30 seconds.,L1,G,Group
Dare,Remove a piece of clothing from another player without using your hands. 8 for 60 seconds.,L4,R,Group
Dare,"Strip down and roleplay as a dominant master, ordering your partner to worship you for the next minute. 4 for 90 seconds.",L1,G,Group
Dare,"Until the next player takes a dare, you're wearing hand-cuffs or ankle-cuffs. 9 for 60 seconds.",L3,G,Group
Dare,"Let the other players write on you in marker pen - stomach, thighs, chest, butt. 9 for 60 seconds.",L1,G,Group
Dare,"With a blindfold on, try to identify a volunteer player by gently touching their face or another part of their body. 9 for 90 seconds.",L1,G,Group
Dare,Let another player scratch a message onto your back with their nails. 9 for 60 seconds.,L1,G,Group
Dare,Sit in a cake - then let the other players eat it off you. 9 for 30 seconds.,L1,G,Group
Dare,"Sensory Deprivation: Dare to wear a blindfold for the next three rounds, living in the fantasy of mystery. 4 for 60 seconds.",L1,G,Group
Dare,Exhibitionism: Take off a piece of clothing while blindfolded—let someone guide you. 4 for 60 seconds.,L1,G,Group
Dare,Exhibitionism: Unbutton your shirt one button at a time until someone speaks.,L1,G,Group
Dare,Endurance: Hold a plank for two minutes. 15 for 60 seconds.,L1,G,Group
Dare,Kiss your favorite part of my body for 90 seconds.,L1,G,Couple
Dare,Do a seductive dance for 30 seconds.,L4,R,Couple
Dare,Lick something off my finger/cheek/neck for 90 seconds.,L4,R,Couple
Dare,Name three songs you'd add to a sex playlist for 30 seconds.,L1,G,Couple
Dare,Drop an ice cube in your underwear and keep it for 30 seconds.,L4,R,Couple
Dare,Send a sexy selfie to me/the group (optional: from another room) for 60 seconds.,L2,G,Couple
Dare,Give me a five-minute foot massage for 90 seconds.,L1,G,Couple
Dare,Read an erotic passage out loud for 60 seconds.,L1,G,Couple
Dare,Take off an item of my clothing without using your hands for 60 seconds.,L1,G,Couple
Dare,Eat a piece of fruit as sexy as possible for 60 seconds.,L1,G,Couple
Dare,Whisper something dirty in my ear for 30 seconds.,L1,G,Couple
Dare,Use your worst pick-up lines on me for one minute for 60 seconds.,L1,G,Couple
Dare,Let me give you a light spanking for 60 seconds.,L7,X,Couple
Dare,Make me a snack wearing only an apron for 60 seconds.,L1,G,Couple
Dare,Perform a striptease (stop at a comfortable level) for 90 seconds.,L1,G,Couple
Dare,Give a lap dance to the person of my/the group's choice for 90 seconds.,L4,R,Couple
Dare,Give me a lap dance for 90 seconds.,L4,R,Couple
Dare,Do a sexy dance to a song I choose for 90 seconds.,L1,G,Couple
Dare,Re-enact our first kiss for 90 seconds.,L1,G,Couple
Dare,Let me draw a tattoo on you in permanent marker (subtle location) for 60 seconds.,L1,G,Couple
Dare,Use your fingers to trace over your favorite parts of my body for 60 seconds.,L1,G,Couple
Dare,Take off one item of your clothing (you choose which one) for 60 seconds.,L1,G,Couple
Dare,"Let me draw you naked (with clothes on, use marker on skin) for 60 seconds.",L6,R,Couple
Dare,Hide a chocolate in your clothes and let me find it for 60 seconds.,L1,G,Couple
Dare,Take an ice cube and run it up and down my body until it is melted for 60 seconds.,L1,G,Couple
Dare,Act out how you flirt without using words for 60 seconds.,L1,G,Couple
Dare,Write a spicy poem about your partner for 60 seconds.,L1,G,Couple
Dare,Send a flirty text to someone you have a crush on (not me) for 60 seconds.,L1,G,Couple
Dare,Smell another player's sweat. 9 for 60 seconds.,L1,G,Couple
Dare,"CNC Scenario: Roleplay as a secret agent seducing a target for intel, requiring simulated non-consent (with safeword). 4 for 60 seconds.",L1,G,Couple
Dare,CNC Scenario: Play the strict teacher punishing a naughty student; decide and administer the punishment (within hard limits). 4 for 60 seconds.,L1,G,Couple
Dare,"Objectification: Until the next player takes a dare, answer every other player with ""yes sir"" or ""yes miss"". 9 for 60 seconds.",L1,G,Couple
Dare,"Penetrative/Couple: Finger your partner for one full minute, focusing on their most sensitive spots without aiming for an orgasm. 4 for 30 seconds.",L1,G,Couple
Dare,"Penetrative/Kink: Deep-throat your partner's fingers or whatever they're offering, holding it for as long as you can. 4 for 60 seconds.",L1,G,Couple
Dare,"Penetrative/Couple: Jerk off your partner slowly for 30 seconds, then stop and switch roles.",L1,G,Couple
Dare,Do a seductive dance for 30 seconds.,L4,R,Group
Dare,Lick something off my finger/cheek/neck for 90 seconds.,L4,R,Group
Dare,Name three songs you'd add to a sex playlist for 30 seconds.,L1,G,Group
Dare,Drop an ice cube in your underwear and keep it for 30 seconds.,L4,R,Group
Dare,Send a sexy selfie to me/the group (optional: from another room) for 60 seconds.,L2,G,Group
Dare,Read an erotic passage out loud for 60 seconds.,L1,G,Group
Dare,Eat a piece of fruit as sexy as possible for 60 seconds.,L1,G,Group
Dare,Whisper something dirty in my ear for 30 seconds.,L1,G,Group
Dare,Kiss the person next to you on the lips/hand/neck for 90 seconds.,L1,G,Group
Dare,Write your name on someone's arm using only your tongue for 30 seconds.,L1,G,Group
Dare,Use your worst pick-up lines on me for one minute for 60 seconds.,L1,G,Group
Dare,Perform a striptease (stop at a comfortable level) for 90 seconds.,L1,G,Group
Dare,Give a lap dance to the person of my/the group's choice for 90 seconds.,L4,R,Group
Dare,Give me a lap dance for 90 seconds.,L4,R,Group
Dare,Do a sexy dance to a song I choose for 90 seconds.,L1,G,Group
Dare,Hold a suggestive pose for 10 seconds while everyone counts down.,L1,G,Group
Dare,"Put your bra and underwear on over top of your clothes, then go for a walk around the block for 30 seconds.",L1,G,Group
Dare,Take off one item of your clothing (you choose which one) for 60 seconds.,L1,G,Group
Dare,Give someone a neck massage for one minute for 90 seconds.,L1,G,Group
Dare,Act out how you flirt without using words for 60 seconds.,L1,G,Group
Dare,Send a flirty text to someone you have a crush on (not me) for 60 seconds.,L1,G,Group
Dare,Kiss the person you find the most attractive in the room for 90 seconds.,L1,G,Group
Dare,Let another player spit their drink into your mouth. 9 for 60 seconds.,L1,G,Group
Dare,Smell another player's sweat. 9 for 60 seconds.,L1,G,Group
Dare,Hold another player's dick while they go pee (or let another player hold yours). 9 for 60 seconds.,L1,G,Group
Dare,"CNC Scenario: Roleplay as a secret agent seducing a target for intel, requiring simulated non-consent (with safeword). 4 for 60 seconds.",L1,G,Group
Dare,CNC Scenario: Play the strict teacher punishing a naughty student; decide and administer the punishment (within hard limits). 4 for 60 seconds.,L1,G,Group
Dare,Objectification: Kneel down next to another player so they can pet you. 9 for 60 seconds.,L1,G,Group
Dare,"Objectification: Until the next player takes a dare, answer every other player with ""yes sir"" or ""yes miss"". 9 for 60 seconds.",L1,G,Group
Dare,Penetrative/Group: Choose a partner and explore each other for 5 minutes (mandated intimate contact).,L1,G,Group
Dare,Penetrative/Group: Demonstrate your favorite position using two others as props (requires group coordination and staging).,L1,G,Group
Dare,Take off one article of my clothing using only your mouth for 60 seconds.,L1,G,Couple
Dare,Spell the alphabet with your tongue somewhere on my body for 60 seconds.,L1,G,Couple
Dare,Give me a body-to-body massage (30 sec - 1 min).,L1,G,Couple
Dare,Suck on my belly button/neck for a minute for 90 seconds.,L1,G,Couple
Dare,Blindfold your partner and feed them something out of the fridge for 60 seconds.,L1,G,Couple
Dare,Do my least favorite chore—naked for 60 seconds.,L6,R,Couple
Dare,"Fake an orgasm, while simulating a sexual position for 30 seconds.",L1,G,Couple
Dare,Take a naked selfie and send it to your partner for 60 seconds.,L6,R,Couple
Dare,Put your hand down your partner's pants until the next round for 60 seconds.,L1,G,Couple
Dare,Give the group your naughtiest look for 3 minutes.,L1,G,Couple
Dare,Draw a picture of me naked for 60 seconds.,L6,R,Couple
Dare,Call a sex club and apply for a job (stay on the phone for at least 1 min).,L1,G,Couple
Dare,"If there's a pool or hot tub, go skinny-dipping for 60 seconds.",L1,G,Couple
Dare,Take off my underwear using only your teeth for 60 seconds.,L1,G,Couple
Dare,Lick a shoe for 90 seconds.,L1,G,Couple
Dare,"Blindfold your partner and feed them a mix of different foods, they have to guess each one.",L1,G,Couple
Dare,Send one of your parents a sext and don't reply for one hour for 60 seconds.,L1,G,Couple
Dare,Make your orgasm face the next stranger you see until they make eye contact.,L1,G,Couple
Dare,Play a round of seven minutes in heaven with your partner (or person of choice) for 60 seconds.,L1,G,Couple
Dare,"Take off your clothes immediately, in front of your partner/group for 60 seconds.",L1,G,Couple
Dare,Put an ice cube under your clothes/in your underwear for 30 seconds.,L4,R,Couple
Dare,Lick something off my finger/body (you choose the place) for 90 seconds.,L4,R,Couple
Dare,Go without underwear for 60 seconds.,L1,G,Couple
Dare,Fake an orgasm while describing a sex position for 30 seconds.,L1,G,Couple
Dare,Let your partner give you a light spanking for 60 seconds.,L7,X,Couple
Dare,"Go into the bathroom, take a naked selfie and send it to me for 60 seconds.",L6,R,Couple
Dare,Share your filthiest dirty sext to your partner (read it out loud) for 60 seconds.,L1,G,Couple
Dare,Act out your dirtiest dream for 3 minutes.,L1,G,Couple
Dare,Go skinny-dipping (if a pool/hot tub is available) for 60 seconds.,L1,G,Couple
Dare,Do my least favorite chore—in only your undergarments for 60 seconds.,L1,G,Couple
Dare,Give me a body-to-body massage (30 sec - 1 min).,L1,G,Group
Dare,Give the player to your right a professional erotic massage (1 min).,L4,R,Group
Dare,Remove a piece of clothing from another player without using your hands (consent required) for 60 seconds.,L4,R,Group
Dare,"Fake an orgasm, while simulating a sexual position for 30 seconds.",L1,G,Group
Dare,Put a hickey on the inner thigh of the person to your left for 60 seconds.,L4,R,Group
Dare,Give the group your naughtiest look for 3 minutes.,L1,G,Group
Dare,Take a body shot (you may choose the person/location) for 60 seconds.,L4,R,Group
Dare,Call a sex club and apply for a job (stay on the phone for at least 1 min).,L1,G,Group
Dare,"If there's a pool or hot tub, go skinny-dipping for 60 seconds.",L1,G,Group
Dare,Whisper something dirty into the ear of the person next to you for 30 seconds.,L1,G,Group
Dare,Lick a shoe for 90 seconds.,L1,G,Group
Dare,Send one of your parents a sext and don't reply for one hour for 60 seconds.,L1,G,Group
Dare,Go around the room and guess everyone's kinks.,L1,G,Group
Dare,Make your orgasm face the next stranger you see until they make eye contact.,L1,G,Group
Dare,Caress the person next to you from their neck all the way to the brim of their underwear for 90 seconds.,L8,X,Group
Dare,Play a round of seven minutes in heaven with your partner (or person of choice) for 60 seconds.,L1,G,Group
Dare,"Take off your clothes immediately, in front of your partner/group for 60 seconds.",L1,G,Group
Dare,Put an ice cube under your clothes/in your underwear for 30 seconds.,L4,R,Group
Dare,Lick something off my finger/body (you choose the place) for 90 seconds.,L4,R,Group
Dare,Go without underwear for 60 seconds.,L1,G,Group
Dare,Fake an orgasm while describing a sex position for 30 seconds.,L1,G,Group
Dare,Give the player on your right an erotic massage for 1 minute.,L4,R,Group
Dare,Seductively eat a banana while locking eyes with the person to your left for 60 seconds.,L1,G,Group
Dare,Act out your dirtiest dream for 3 minutes.,L1,G,Group
Dare,Bite the tip of the tongue from the player in front of you (lightly) for 60 seconds.,L1,G,Group
Dare,French kiss the player sitting in front of you for 30 seconds.,L1,G,Group
Dare,If you had to choose: which player would you take for a naughty evening? (Point to them) for 60 seconds.,L1,G,Group
Dare,Lick something off the earlobes of all the players of the opposite sex for 30 seconds.,L1,G,Group
Dare,"Caress their thighs, without your hands, be creative! (Point to a person) for 90 seconds.",L1,G,Group
Dare,Go skinny-dipping (if a pool/hot tub is available) for 60 seconds.,L1,G,Group
Truth,What was your very first impression of me?,L1,G,Couple
Truth,What's your biggest fear (in general)?,L1,G,Couple
Truth,What's your ultimate unpopular opinion?,L1,G,Couple
Truth,What's the weirdest thing you've ever eaten?,L1,G,Couple
Truth,"If you could pick a theme song for every time you entered a room, what would it be?",L1,G,Couple
Truth,What was the last thing you Googled?,L1,G,Couple
Truth,What's the worst thing you've ever done at work?,L1,G,Couple
Truth,What's your biggest regret?,L1,G,Couple
Truth,What's your favorite childhood memory?,L1,G,Couple
Truth,What's the best piece of advice you've ever received?,L1,G,Couple
Truth,"What gives you the ""ick""?",L1,G,Couple
Truth,What's the silliest lie you've ever told me?,L1,G,Couple
Truth,Who is your favorite/least favorite of my friends?,L1,G,Couple
Truth,Name something you think could improve our relationship.,L1,G,Couple
Truth,What was our best date?,L1,G,Couple
Truth,Have you ever knowingly done anything illegal?,L1,G,Couple
Truth,What do you believe is the biggest misconception about you?,L1,G,Couple
Truth,"What's your biggest fear (in life, generally)?",L1,G,Couple
Truth,What is your ultimate unpopular opinion?,L1,G,Couple
Truth,What is the weirdest thing you've ever eaten?,L1,G,Couple
Truth,What is a secret you've never told anyone?,L1,G,Couple
Truth,What's the worst gift you've ever received?,L1,G,Couple
Truth,What is the last thing you Googled?,L1,G,Couple
Truth,Who is someone you pretend to like but actually can't stand?,L1,G,Couple
Truth,What's the most embarrassing thing you've ever done in front of a mirror?,L1,G,Couple
Truth,What's your biggest fear about our relationship?,L1,G,Couple
Truth,"If you could swap lives with me for a day, what would you do first?",L1,G,Couple
Truth,Have you ever farted and blamed someone else?,L1,G,Couple
Truth,What's the longest you've gone without washing your bed sheets?,L1,G,Couple
Truth,What is the craziest thing you've done on public transportation?,L1,G,Couple
Truth,What crime would you commit if you knew you wouldn't get caught?,L8,X,Couple
Truth,What's the last lie you told?,L1,G,Couple
Truth,What's the biggest misconception about you?,L1,G,Couple
Truth,What's the most ridiculous thing you've ever Googled at 3am?,L1,G,Couple
Truth,What's the most embarrassing thing you've done for love?,L1,G,Couple
Truth,Have you ever broken the law?,L1,G,Couple
Truth,What's your biggest regret?,L1,G,Couple
Truth,What crime would you commit if you knew you'd never get caught?,L8,X,Couple
Truth,What's one thing you only do when you're alone?,L1,G,Couple
Truth,What do you worry people would judge you for?,L1,G,Couple
Truth,What's your biggest fear about our relationship?,L1,G,Couple
Truth,What's the biggest secret you've kept from your parents?,L1,G,Couple
Truth,What would constitute a “perfect” day for you?,L1,G,Couple
Truth,Do you have a secret hunch about how you will die?,L1,G,Couple
Truth,Name three things you and your partner appear to have in common.,L1,G,Couple
Truth,What's the most illegal thing you've ever done?,L1,G,Couple
Truth,What was your most embarrassing moment in our relationship?,L1,G,Couple
Truth,Is there a secret you've been too scared to tell me?,L1,G,Couple
Truth,Have you ever lied to avoid getting in trouble with me?,L1,G,Couple
Truth,What do you appreciate about the way we’ve spent money so far?,L1,G,Couple
Truth,What's your biggest insecurity?,L1,G,Couple
Truth,What was your first impression of me?,L1,G,Couple
Truth,When did you first know that you were in love with me?,L1,G,Couple
Truth,"What makes me feel cherished, loved, and secure?",L1,G,Couple
Truth,What makes me feel afraid in relationships? Why?,L1,G,Couple
Truth,What was your very first impression of me?,L1,G,Group
